"","VannKraftverkID","Navn","VannKVType","HovedEier","HovedEier_OrgNr","Fylke","FylkesNr","Kommune","KommuneNr","ForsteUtnyttelseAvFalletDato","DatoForEldsteKraftproduserendeDel","MaksYtelse","MidProd_81_10","BruttoFallhoyde_M","Slukeevne","EnEkv","ElspotomraadeNummer","RegineNr"
"1290",1934,"Storåselva","Kraftverk","NTE ENERGI AS","988340715","Trøndelag","50","Steinkjer","04","2018-05-07T00:00:00","2018-05-07T00:00:00",25.5,75,124,23.4,0.303,"3","128.F3"
"1291",1849,"Storåvatn 1","Kraftverk","SMISTO KRAFT AS","915372805","Nordland","18","Rødøy","36","2019-03-26T00:00:00","2019-03-26T00:00:00",8,25,442.5,2,1.111,"4","159.2Z"
"1292",1522,"Strand I","Kraftverk","","","Telemark","08","Hjartdal","27","2008-01-01T00:00:00","2008-01-01T00:00:00",0.004,0.014,NA,NA,NA,"2","016.EC1"
"1293",901,"Strandeelva","Kraftverk","JONN RINDEN","969161192","Buskerud","06","Sigdal","21","2005-02-20T00:00:00","2005-02-20T00:00:00",0.37,1.1,NA,NA,NA,"1","012.BB42"
"1294",403,"Strandfossen","Kraftverk","E-CO ENERGI AS","976894677","Hedmark","04","Elverum","27","1979-07-01T00:00:00","1979-07-01T00:00:00",25,148.4809,12.5,248.02,0.028,"1","002.H62"
"1295",1174,"Strandfossen Minikraftverk","Kraftverk","E-CO ENERGI AS","976894677","Hedmark","04","Elverum","27","1981-01-01T00:00:00","1981-01-01T00:00:00",0.13,0.6,3.25,5,NA,"1","002.H712"
"1296",1105,"Strandjordselva","Kraftverk","STORFORSHEI NATURKRAFT AS","985229244","Nordland","18","Rana","33","2005-10-31T00:00:00","2005-10-31T00:00:00",0.75,2.5,211,0.45,0.463,"4","156.E0"
"1297",1668,"Strandos","Kraftverk","STRANDOS KRAFT AS","995358670","Sogn og Fjordane","14","Høyanger","16","2012-03-27T00:00:00","2012-03-27T00:00:00",1.93,6.2,205,2.1,0.255,"3","080.4H"
"1298",838,"Straumane","Kraftverk","SVELGEN KRAFT AS","986530649","Sogn og Fjordane","14","Bremanger","38","2005-05-29T00:00:00","2005-05-29T00:00:00",1.45,7,38,4.8,0.084,"3","086.2Z"
"1299",1900,"Straume","Kraftverk","STRAUME KRAFTVERK AS","914870437","Aust-Agder","09","Valle","40","2017-09-12T00:00:00","2017-09-12T00:00:00",5,15,396.64,1.57,0.885,"2","021.E3A"
"1300",404,"Straumsmo","Kraftverk","STATKRAFT ENERGI AS","987059729","Troms","19","Bardu","22","1966-02-10T00:00:00","1966-02-10T00:00:00",130,704.3871,229,70,0.516,"4","196.AC4"
"1301",1330,"Straumstøyl","Kraftverk","JON LINDESTAD BAKKEN","983997279","Telemark","08","Vinje","34","2006-06-21T00:00:00","2006-06-21T00:00:00",0.4,1.2,NA,NA,NA,"2","016.BEC5"
"1302",405,"Strielv","Kraftverk","VESTERÅLSKRAFT PRODUKSJON AS","977044863","Nordland","18","Sortland – Suortá","70","1984-01-01T00:00:00","1984-01-01T00:00:00",1.7,7.4932,320.5,0.6,0.787,"4","178.442Z"
"1303",1204,"Strindmoelva","Kraftverk","","","Trøndelag","50","Snåase – Snåsa","41","1997-01-01T00:00:00","1997-01-01T00:00:00",0.018,0.054,15,NA,NA,"3","128.C3Z"
"1304",902,"Strupen","Kraftverk","STRUPEN ENERGI AS","979909551","Sogn og Fjordane","14","Flora","01","1999-04-20T00:00:00","1999-04-20T00:00:00",0.48,2.5,NA,NA,NA,"3","085.4E"
"1305",1895,"Strupen","Kraftverk","STRUPEN KRAFT AS","911605333","Sogn og Fjordane","14","Gloppen","45","2017-06-21T00:00:00","2017-06-21T00:00:00",1.92,7.2,78.95,2.76,0.193,"3","087.CC"
"1306",1172,"Strømsfoss","Kraftverk","NORDSIDEN KRAFT AS","917800731","Østfold","01","Aremark","18","1994-10-05T00:00:00","1994-10-05T00:00:00",0.5,2.5,NA,NA,NA,"1","001.D3"
"1307",1325,"Stråpa","Kraftverk","STRÅPA KRAFT AS","989777432","Rogaland","11","Suldal","34","2007-04-24T00:00:00","2007-04-24T00:00:00",4.4,13.3,457,1,1.22,"2","036.A3"
